locus_tag	ftype	length_bp	gene	EC_number	COG	product
POOLPIDM_00058	CDS	471	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
POOLPIDM_00059	CDS	1392				hypothetical protein
POOLPIDM_00060	CDS	1182	xerC_1			Tyrosine recombinase XerC
POOLPIDM_00061	CDS	735				hypothetical protein
POOLPIDM_00062	CDS	276				hypothetical protein
POOLPIDM_00063	CDS	1998				hypothetical protein
POOLPIDM_00064	CDS	336				hypothetical protein
POOLPIDM_00065	CDS	216				hypothetical protein
POOLPIDM_00066	CDS	366				hypothetical protein
POOLPIDM_00067	CDS	327				hypothetical protein
POOLPIDM_00068	CDS	726				hypothetical protein
POOLPIDM_00069	CDS	1593				hypothetical protein
POOLPIDM_00070	CDS	1245				hypothetical protein
POOLPIDM_00071	CDS	3150				hypothetical protein
POOLPIDM_00072	CDS	1446				IS1182 family transposase ISEfa7
POOLPIDM_00073	CDS	666				hypothetical protein
POOLPIDM_00074	CDS	2037				hypothetical protein
POOLPIDM_00075	CDS	639	yknY	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
POOLPIDM_00076	CDS	429				hypothetical protein
POOLPIDM_00077	CDS	912	prsA_1	5.2.1.8		Foldase protein PrsA
POOLPIDM_00078	CDS	438				hypothetical protein
POOLPIDM_00079	CDS	885		2.7.1.-	COG1597	Putative lipid kinase
POOLPIDM_00080	CDS	3168				hypothetical protein
POOLPIDM_00081	CDS	546				hypothetical protein
POOLPIDM_00082	CDS	456				hypothetical protein
POOLPIDM_00083	CDS	759				hypothetical protein
POOLPIDM_00084	CDS	741				hypothetical protein
POOLPIDM_00085	CDS	1254				hypothetical protein
POOLPIDM_00086	CDS	228				hypothetical protein
POOLPIDM_00087	CDS	327				hypothetical protein
POOLPIDM_00088	CDS	714	strA	3.4.22.-	COG3764	Sortase A
POOLPIDM_00089	CDS	852	licT_1		COG3711	Transcription antiterminator LicT
POOLPIDM_00090	CDS	150				hypothetical protein
POOLPIDM_00091	CDS	1866	bglF_1		COG1263	PTS system beta-glucoside-specific EIIBCA component
POOLPIDM_00092	CDS	1371	bglH_1	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
POOLPIDM_00093	CDS	702				hypothetical protein
POOLPIDM_00094	CDS	489	fruA_1		COG1299	PTS system fructose-specific EIIB'BC component
POOLPIDM_00095	CDS	111				hypothetical protein
POOLPIDM_00096	CDS	576	yvdD		COG1611	LOG family protein YvdD
POOLPIDM_00097	CDS	441				hypothetical protein
POOLPIDM_00098	CDS	702		2.7.1.113	COG1428	Deoxyguanosine kinase
POOLPIDM_00099	CDS	174				hypothetical protein
POOLPIDM_00100	CDS	426				hypothetical protein
POOLPIDM_00101	CDS	972	rbsR		COG1609	Ribose operon repressor
POOLPIDM_00102	CDS	1398	gmuD_1	3.2.1.86	COG2723	6-phospho-beta-glucosidase GmuD
POOLPIDM_00103	CDS	624				hypothetical protein
POOLPIDM_00104	CDS	2094	ltaS1_1		COG1368	Lipoteichoic acid synthase 1
POOLPIDM_00105	CDS	867				hypothetical protein
POOLPIDM_00106	CDS	438	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
POOLPIDM_00107	CDS	2649	mgtA	7.2.2.14	COG0474	Magnesium-transporting ATPase, P-type 1
POOLPIDM_00108	CDS	672		3.1.3.-	COG0637	Phosphorylated carbohydrates phosphatase
POOLPIDM_00109	CDS	600				hypothetical protein
POOLPIDM_00110	CDS	1074	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
POOLPIDM_00111	CDS	681	metP_2		COG2011	Methionine import system permease protein MetP
POOLPIDM_00112	CDS	840	metQ_2		COG1464	D-methionine-binding lipoprotein MetQ
POOLPIDM_00113	CDS	1224	abgB	3.5.1.-	COG1473	p-aminobenzoyl-glutamate hydrolase subunit B
POOLPIDM_00114	CDS	1419	nhaC_1		COG1757	Na(+)/H(+) antiporter NhaC
POOLPIDM_00115	CDS	444				hypothetical protein
POOLPIDM_00116	CDS	1341	yvbW		COG1113	putative amino acid permease YvbW
POOLPIDM_00117	CDS	897				hypothetical protein
POOLPIDM_00118	CDS	942	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
POOLPIDM_00119	CDS	1122	garK	2.7.1.165	COG1929	Glycerate 2-kinase
POOLPIDM_00120	CDS	1503	eat(A)			ABC-F type ribosomal protection protein Eat(A)
POOLPIDM_00121	CDS	528	pspB	3.1.3.3	COG0406	Putative phosphoserine phosphatase 2
POOLPIDM_00122	CDS	1062				hypothetical protein
POOLPIDM_00123	CDS	897	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
POOLPIDM_00124	CDS	1983				hypothetical protein
POOLPIDM_00125	CDS	447			COG1780	Putative NrdI-like protein
POOLPIDM_00126	CDS	1425	arcD1_2		COG0531	Arginine/ornithine antiporter ArcD1
POOLPIDM_00127	CDS	774				hypothetical protein
POOLPIDM_00128	CDS	906	bcrA_1			Bacitracin transport ATP-binding protein BcrA
POOLPIDM_00129	CDS	321	gdx		COG2076	Guanidinium exporter
POOLPIDM_00130	CDS	687				hypothetical protein
POOLPIDM_00131	CDS	945				hypothetical protein
POOLPIDM_00132	CDS	645	pcp	3.4.19.3		Pyrrolidone-carboxylate peptidase
POOLPIDM_00133	CDS	1278				hypothetical protein
POOLPIDM_00134	CDS	750	pnuC		COG3201	Nicotinamide riboside transporter PnuC
POOLPIDM_00135	CDS	381				hypothetical protein
POOLPIDM_00136	CDS	510				hypothetical protein
POOLPIDM_00137	CDS	180				hypothetical protein
POOLPIDM_00138	CDS	564				hypothetical protein
POOLPIDM_00139	CDS	516				hypothetical protein
POOLPIDM_00140	CDS	870	ywpJ_1	3.1.3.-	COG0561	Phosphatase YwpJ
POOLPIDM_00141	CDS	681	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
POOLPIDM_00142	CDS	981	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
POOLPIDM_00143	CDS	474	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
POOLPIDM_00144	CDS	525				hypothetical protein
POOLPIDM_00145	CDS	534	polC_1	2.7.7.7	COG2176	DNA polymerase III PolC-type
POOLPIDM_00146	CDS	753	exoA	3.1.11.2	COG0708	Exodeoxyribonuclease
POOLPIDM_00147	CDS	921	yceM	1.-.-.-	COG0673	Putative oxidoreductase YceM
POOLPIDM_00148	CDS	936	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
POOLPIDM_00149	CDS	1479				hypothetical protein
POOLPIDM_00150	CDS	2061				hypothetical protein
POOLPIDM_00151	CDS	570				hypothetical protein
POOLPIDM_00152	CDS	807				hypothetical protein
POOLPIDM_00153	CDS	1515		1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
POOLPIDM_00154	CDS	984		1.3.1.103		2-haloacrylate reductase
POOLPIDM_00155	CDS	648	yhfK	4.-.-.-	COG0702	putative sugar epimerase YhfK
POOLPIDM_00156	CDS	633	panT_1		COG4684	Pantothenic acid transporter PanT
POOLPIDM_00157	CDS	552	coaBC_1		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
POOLPIDM_00158	CDS	738	coaBC_2	6.3.2.5		Coenzyme A biosynthesis bifunctional protein CoaBC
POOLPIDM_00159	CDS	990	acuI	1.3.1.84	COG0604	putative acrylyl-CoA reductase AcuI
POOLPIDM_00160	CDS	543				hypothetical protein
POOLPIDM_00161	CDS	1086	potA	7.6.2.11		Spermidine/putrescine import ATP-binding protein PotA
POOLPIDM_00162	CDS	807	potB		COG1176	Spermidine/putrescine transport system permease protein PotB
POOLPIDM_00163	CDS	828	ydcV			Inner membrane ABC transporter permease protein YdcV
POOLPIDM_00164	CDS	1074	potD		COG0687	Spermidine/putrescine-binding periplasmic protein
POOLPIDM_00165	CDS	2619	dgaR_1			Transcriptional regulatory protein DagR
POOLPIDM_00166	CDS	423				hypothetical protein
POOLPIDM_00167	CDS	495		2.7.1.-		putative phosphotransferase enzyme IIB component
POOLPIDM_00168	CDS	810				hypothetical protein
POOLPIDM_00169	CDS	822	manZ_1		COG3716	PTS system mannose-specific EIID component
POOLPIDM_00170	CDS	2100				hypothetical protein
POOLPIDM_00171	CDS	1119				hypothetical protein
POOLPIDM_00172	CDS	879	gmuE_1	2.7.1.4	COG1940	Putative fructokinase
POOLPIDM_00173	CDS	813				hypothetical protein
POOLPIDM_00174	CDS	108				hypothetical protein
POOLPIDM_00175	CDS	1068				hypothetical protein
POOLPIDM_00176	CDS	204				hypothetical protein
POOLPIDM_00177	CDS	1203	xerC_2			Tyrosine recombinase XerC
POOLPIDM_00178	CDS	1131	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
POOLPIDM_00179	CDS	954			COG2826	IS30 family transposase IS1252
POOLPIDM_00180	CDS	393	glnR		COG0789	HTH-type transcriptional regulator GlnR
POOLPIDM_00181	CDS	1341	glnA	6.3.1.2		Glutamine synthetase
POOLPIDM_00182	CDS	246				hypothetical protein
POOLPIDM_00183	CDS	1611	pyrG	6.3.4.2	COG0504	CTP synthase
POOLPIDM_00184	CDS	870	fba	4.1.2.13	COG0191	Fructose-bisphosphate aldolase
POOLPIDM_00185	CDS	1272	murA1_1	2.5.1.7		UDP-N-acetylglucosamine 1-carboxyvinyltransferase
POOLPIDM_00186	CDS	1296	rho	3.6.4.-	COG1158	Transcription termination factor Rho
POOLPIDM_00187	CDS	264	rpmE2		COG0254	50S ribosomal protein L31 type B
POOLPIDM_00188	CDS	450	fruA_2		COG1299	PTS system fructose-specific EIIABC component
POOLPIDM_00189	CDS	1419	fruA_3		COG1299	PTS system fructose-specific EIIABC component
POOLPIDM_00190	CDS	861	kbaY	4.1.2.40	COG0191	D-tagatose-1,6-bisphosphate aldolase subunit KbaY
POOLPIDM_00191	CDS	738	ydjF		COG1349	putative HTH-type transcriptional regulator YdjF
POOLPIDM_00192	CDS	366				hypothetical protein
POOLPIDM_00193	CDS	1209	yfcJ			putative MFS-type transporter YfcJ
POOLPIDM_00194	CDS	279				hypothetical protein
POOLPIDM_00195	CDS	696	larR		COG0664	Lactate racemization regulatory protein
POOLPIDM_00196	CDS	798				hypothetical protein
POOLPIDM_00197	CDS	1185				hypothetical protein
POOLPIDM_00198	CDS	1248				hypothetical protein
POOLPIDM_00199	CDS	1746				hypothetical protein
POOLPIDM_00200	CDS	315			COG0718	Nucleoid-associated protein
POOLPIDM_00201	CDS	597	recR		COG0353	Recombination protein RecR
POOLPIDM_00202	CDS	645	tmk	2.7.4.9	COG0125	Thymidylate kinase
POOLPIDM_00203	CDS	330	darA		COG3870	Cyclic di-AMP receptor A
POOLPIDM_00204	CDS	939				hypothetical protein
POOLPIDM_00205	CDS	825				hypothetical protein
POOLPIDM_00206	CDS	348	yabA		COG4467	Initiation-control protein YabA
POOLPIDM_00207	CDS	873	rsmI	2.1.1.198		Ribosomal RNA small subunit methyltransferase I
POOLPIDM_00208	CDS	1122	dinB	2.7.7.7	COG0389	DNA polymerase IV
POOLPIDM_00209	CDS	603				hypothetical protein
POOLPIDM_00210	CDS	2190	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
POOLPIDM_00211	CDS	768	bceA_1		COG1136	Bacitracin export ATP-binding protein BceA
POOLPIDM_00212	CDS	2043	bceB_1		COG0577	Bacitracin export permease protein BceB
POOLPIDM_00213	CDS	150				hypothetical protein
POOLPIDM_00214	CDS	1515	dltA	6.2.1.54	COG1020	D-alanine--D-alanyl carrier protein ligase
POOLPIDM_00215	CDS	1206				hypothetical protein
POOLPIDM_00216	CDS	234	dltC		COG0236	D-alanyl carrier protein
POOLPIDM_00217	CDS	1269	dltD		COG3966	Protein DltD
POOLPIDM_00218	CDS	1083	ysdC	3.4.11.-	COG1363	Putative aminopeptidase YsdC
POOLPIDM_00219	CDS	804				hypothetical protein
POOLPIDM_00220	CDS	741			COG1234	putative protein
POOLPIDM_00221	CDS	1005	lplJ	6.3.1.20	COG0095	Lipoate-protein ligase LplJ
POOLPIDM_00222	CDS	1845				hypothetical protein
POOLPIDM_00223	CDS	390				hypothetical protein
POOLPIDM_00224	CDS	684	trmR	2.1.1.-	COG4122	tRNA 5-hydroxyuridine methyltransferase
POOLPIDM_00225	tRNA	75				tRNA-Arg(tct)
POOLPIDM_00226	CDS	360				hypothetical protein
POOLPIDM_00227	CDS	1632	dauA		COG0659	C4-dicarboxylic acid transporter DauA
POOLPIDM_00228	CDS	642	udg	3.2.2.27	COG1573	Type-4 uracil-DNA glycosylase
POOLPIDM_00229	CDS	309	rplU		COG0261	50S ribosomal protein L21
POOLPIDM_00230	CDS	345				hypothetical protein
POOLPIDM_00231	CDS	294	rpmA			50S ribosomal protein L27
POOLPIDM_00232	CDS	2835	dgaR_2			Transcriptional regulatory protein DagR
POOLPIDM_00233	CDS	492	manX_1	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
POOLPIDM_00234	CDS	990	manX_2	2.7.1.191		PTS system mannose-specific EIIAB component
POOLPIDM_00235	CDS	804	sorA_1		COG3715	PTS system sorbose-specific EIIC component
POOLPIDM_00236	CDS	915	manZ_2		COG3716	PTS system mannose-specific EIID component
POOLPIDM_00237	CDS	375				hypothetical protein
POOLPIDM_00238	CDS	246				hypothetical protein
POOLPIDM_00239	CDS	1065	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
POOLPIDM_00240	CDS	426				putative protein
POOLPIDM_00241	CDS	450	nusB		COG0781	Transcription antitermination protein NusB
POOLPIDM_00242	CDS	855	folD		COG0190	Bifunctional protein FolD protein
POOLPIDM_00243	CDS	1338	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
POOLPIDM_00244	CDS	225	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
POOLPIDM_00245	CDS	891		2.5.1.10		Farnesyl diphosphate synthase
POOLPIDM_00246	CDS	819	tlyA		COG1189	Hemolysin A
POOLPIDM_00247	CDS	450	argR_1		COG1438	Arginine repressor
POOLPIDM_00248	CDS	1683	recN		COG0497	DNA repair protein RecN
POOLPIDM_00249	CDS	117				hypothetical protein
POOLPIDM_00250	CDS	957				hypothetical protein
POOLPIDM_00251	CDS	369				hypothetical protein
POOLPIDM_00252	CDS	432	mraZ			Transcriptional regulator MraZ
POOLPIDM_00253	CDS	960	rsmH	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
POOLPIDM_00254	CDS	402	ftsL			Cell division protein FtsL
POOLPIDM_00255	CDS	2193	pbpX_1		COG0768	Penicillin-binding protein 2X
POOLPIDM_00256	CDS	963	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
POOLPIDM_00257	CDS	1362	murD	6.3.2.9		UDP-N-acetylmuramoylalanine--D-glutamate ligase
POOLPIDM_00258	CDS	1089	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
POOLPIDM_00259	CDS	1221	divIB			Cell division protein DivIB
POOLPIDM_00260	CDS	1326	ftsA		COG0849	Cell division protein FtsA
POOLPIDM_00261	CDS	1242	ftsZ		COG0206	Cell division protein FtsZ
POOLPIDM_00262	CDS	678	yggS		COG0325	Pyridoxal phosphate homeostasis protein
POOLPIDM_00263	CDS	600	sepF			Cell division protein SepF
POOLPIDM_00264	CDS	783				hypothetical protein
POOLPIDM_00265	CDS	708	divIVA		COG3599	Cell division protein DivIVA
POOLPIDM_00266	CDS	2799	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
POOLPIDM_00267	CDS	1527	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
POOLPIDM_00268	CDS	648	dtxR			Diphtheria toxin repressor
POOLPIDM_00269	CDS	342				hypothetical protein
POOLPIDM_00270	CDS	729	sfsA		COG1489	Sugar fermentation stimulation protein A
POOLPIDM_00271	CDS	1014	iolU_1	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
POOLPIDM_00272	CDS	1278	yfmL	3.6.4.13	COG0513	putative ATP-dependent RNA helicase YfmL
POOLPIDM_00273	CDS	2703	dgaR_3			Transcriptional regulatory protein DagR
POOLPIDM_00274	CDS	318	ptcB_1	2.7.1.204	COG1440	PTS system galactose-specific EIIB component
POOLPIDM_00275	CDS	321	licA_1		COG1447	Lichenan-specific phosphotransferase enzyme IIA component
POOLPIDM_00276	CDS	1461	celB		COG1455	PTS system cellobiose-specific EIIC component
POOLPIDM_00277	CDS	222				hypothetical protein
POOLPIDM_00278	CDS	183				hypothetical protein
POOLPIDM_00279	CDS	414				hypothetical protein
POOLPIDM_00280	CDS	1182	eis_1	2.3.1.-		N-acetyltransferase Eis
POOLPIDM_00281	CDS	165				hypothetical protein
POOLPIDM_00282	tRNA	76				tRNA-Arg(cct)
POOLPIDM_00283	CDS	1140	xerC_3			Tyrosine recombinase XerC
POOLPIDM_00284	CDS	135				hypothetical protein
POOLPIDM_00285	CDS	636				hypothetical protein
POOLPIDM_00286	CDS	636				hypothetical protein
POOLPIDM_00287	CDS	462				hypothetical protein
POOLPIDM_00288	CDS	432				hypothetical protein
POOLPIDM_00289	CDS	321				hypothetical protein
POOLPIDM_00290	CDS	777				hypothetical protein
POOLPIDM_00291	CDS	204				hypothetical protein
POOLPIDM_00292	CDS	339				hypothetical protein
POOLPIDM_00293	CDS	180				hypothetical protein
POOLPIDM_00294	CDS	504				hypothetical protein
POOLPIDM_00295	CDS	699				hypothetical protein
POOLPIDM_00296	CDS	342				hypothetical protein
POOLPIDM_00297	CDS	672				hypothetical protein
POOLPIDM_00298	CDS	687				hypothetical protein
POOLPIDM_00299	CDS	750				hypothetical protein
POOLPIDM_00300	CDS	270				hypothetical protein
POOLPIDM_00301	CDS	165				hypothetical protein
POOLPIDM_00302	CDS	303				hypothetical protein
POOLPIDM_00303	CDS	162				hypothetical protein
POOLPIDM_00304	CDS	300				hypothetical protein
POOLPIDM_00305	CDS	357				hypothetical protein
POOLPIDM_00306	CDS	246				hypothetical protein
POOLPIDM_00307	CDS	420				hypothetical protein
POOLPIDM_00308	CDS	558				hypothetical protein
POOLPIDM_00309	CDS	297				hypothetical protein
POOLPIDM_00310	CDS	414				hypothetical protein
POOLPIDM_00311	CDS	153				hypothetical protein
POOLPIDM_00312	CDS	276				hypothetical protein
POOLPIDM_00313	CDS	168				hypothetical protein
POOLPIDM_00314	CDS	345				hypothetical protein
POOLPIDM_00315	CDS	282				hypothetical protein
POOLPIDM_00316	CDS	315				hypothetical protein
POOLPIDM_00317	CDS	1695				hypothetical protein
POOLPIDM_00318	CDS	1179				hypothetical protein
POOLPIDM_00319	CDS	687	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
POOLPIDM_00320	CDS	1161				hypothetical protein
POOLPIDM_00321	CDS	876				hypothetical protein
POOLPIDM_00322	CDS	312				hypothetical protein
POOLPIDM_00323	CDS	354				hypothetical protein
POOLPIDM_00324	CDS	402				hypothetical protein
POOLPIDM_00325	CDS	414				hypothetical protein
POOLPIDM_00326	CDS	609				hypothetical protein
POOLPIDM_00327	CDS	363				hypothetical protein
POOLPIDM_00328	CDS	3432	smc_1			Chromosome partition protein Smc
POOLPIDM_00329	CDS	1296				ISL3 family transposase ISEfa11
POOLPIDM_00330	CDS	738				hypothetical protein
POOLPIDM_00331	CDS	2292				hypothetical protein
POOLPIDM_00332	CDS	2127				hypothetical protein
POOLPIDM_00333	CDS	447				hypothetical protein
POOLPIDM_00334	CDS	138				hypothetical protein
POOLPIDM_00335	CDS	294				hypothetical protein
POOLPIDM_00336	CDS	225				hypothetical protein
POOLPIDM_00337	CDS	1026				hypothetical protein
POOLPIDM_00338	tRNA	74				tRNA-Met(cat)
POOLPIDM_00339	CDS	291				IS3 family transposase ISEfa8
POOLPIDM_00340	CDS	837				IS3 family transposase ISEfa8
POOLPIDM_00341	CDS	495				IS3 family transposase ISEnfa3
POOLPIDM_00342	CDS	408				hypothetical protein
POOLPIDM_00343	CDS	402				hypothetical protein
POOLPIDM_00344	CDS	372				hypothetical protein
POOLPIDM_00345	CDS	300				hypothetical protein
POOLPIDM_00346	CDS	222				hypothetical protein
POOLPIDM_00347	CDS	1188				IS256 family transposase IS16
POOLPIDM_00348	CDS	273				hypothetical protein
POOLPIDM_00349	CDS	924	ccpB			Catabolite control protein B
POOLPIDM_00350	CDS	753	mta		COG0789	HTH-type transcriptional activator mta
POOLPIDM_00351	CDS	363				hypothetical protein
POOLPIDM_00352	CDS	1473	pncB2	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase pncB2
POOLPIDM_00353	CDS	825	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
POOLPIDM_00354	CDS	891				hypothetical protein
POOLPIDM_00355	CDS	1518	abfA_1	3.2.1.55		Intracellular exo-alpha-(1->5)-L-arabinofuranosidase
POOLPIDM_00356	CDS	1272	ugpB		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
POOLPIDM_00357	CDS	897	melD		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
POOLPIDM_00358	CDS	864	araQ_2		COG0395	L-arabinose transport system permease protein AraQ
POOLPIDM_00359	CDS	564				hypothetical protein
POOLPIDM_00360	CDS	1512	abfA_2	3.2.1.55	COG3534	Intracellular exo-alpha-(1->5)-L-arabinofuranosidase 1
POOLPIDM_00361	CDS	960		3.2.1.55	COG3940	Extracellular exo-alpha-(1->5)-L-arabinofuranosidase
POOLPIDM_00362	CDS	1080	araR_1		COG1609	Arabinose metabolism transcriptional repressor
POOLPIDM_00363	CDS	1401	xylT			D-xylose transporter
POOLPIDM_00364	CDS	1662	xylB_1	2.7.1.17		Xylulose kinase
POOLPIDM_00365	CDS	699	sgbE	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase SgbE
POOLPIDM_00366	CDS	1425	araA	5.3.1.4		L-arabinose isomerase
POOLPIDM_00367	CDS	1161	ghrB_1	1.1.1.81		Glyoxylate/hydroxypyruvate reductase B
POOLPIDM_00368	CDS	1860				hypothetical protein
POOLPIDM_00369	CDS	435				hypothetical protein
POOLPIDM_00370	CDS	162				hypothetical protein
POOLPIDM_00371	CDS	1023	pgl	3.1.1.31	COG2706	6-phosphogluconolactonase
POOLPIDM_00372	CDS	354				hypothetical protein
POOLPIDM_00373	CDS	1167				hypothetical protein
POOLPIDM_00374	CDS	621	azoR	1.7.1.17	COG1182	FMN-dependent NADH-azoreductase
POOLPIDM_00375	CDS	297				hypothetical protein
POOLPIDM_00376	CDS	651				hypothetical protein
POOLPIDM_00377	CDS	1728			COG1132	putative ABC transporter ATP-binding protein
POOLPIDM_00378	CDS	255				hypothetical protein
POOLPIDM_00379	CDS	1638		7.6.2.-	COG1132	Fatty acid ABC transporter ATP-binding/permease protein
POOLPIDM_00380	CDS	870	catE	1.13.11.2	COG2514	Catechol-2,3-dioxygenase
POOLPIDM_00381	CDS	1026	amiE	3.5.1.28		N-acetylmuramyl-L-alanine amidase
POOLPIDM_00382	CDS	951	gmuF	5.3.1.8	COG1482	putative mannose-6-phosphate isomerase GmuF
POOLPIDM_00383	CDS	351	mtlA			PTS system mannitol-specific EIICB component
POOLPIDM_00384	CDS	1320				hypothetical protein
POOLPIDM_00385	CDS	2034	mtlR			Transcriptional regulator MtlR
POOLPIDM_00386	CDS	441	mtlF_1		COG2213	Mannitol-specific phosphotransferase enzyme IIA component
POOLPIDM_00387	CDS	1128				hypothetical protein
