# BUSCO version is: 5.8.2 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
761140at2	Complete	tig00000001	2297707	2299716	+	219.4	286	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	tig00000001	677473	676793	-	259.9	204	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	tig00000001	2509813	2511369	+	666.5	407	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	tig00000001	2027165	2028100	+	164.1	213	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	tig00000001	1565377	1566378	+	414.8	273	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
923547at2	Complete	tig00000001	577337	576285	-	438.9	314	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	tig00000001	574162	572888	-	596.4	418	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932993at2	Complete	tig00000001	173078	174367	+	91.5	210	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Complete	tig00000001	1480753	1481586	+	233.3	172	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Complete	tig00000001	205117	206283	+	254.2	252	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
984717at2	Complete	tig00000001	2583413	2584312	+	236.1	218	https://v10-1.orthodb.org/?query=984717at2	GTPase Era
1009041at2	Complete	tig00000001	2142998	2144239	+	253.5	227	https://v10-1.orthodb.org/?query=1009041at2	Cell division protein FtsZ
1024388at2	Complete	tig00000001	1160662	1159469	-	441.9	308	https://v10-1.orthodb.org/?query=1024388at2	S-adenosylmethionine synthetase
1036075at2	Complete	tig00000001	2459159	2460937	+	277.7	318	https://v10-1.orthodb.org/?query=1036075at2	GIY-YIG endonuclease
1043239at2	Complete	tig00000001	103871	104593	+	161.3	154	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
1049662at2	Complete	tig00000001	575713	574178	-	599.9	437	https://v10-1.orthodb.org/?query=1049662at2	Methylglyoxal synthase-like domain
1054741at2	Complete	tig00000001	1909281	1910402	+	467.9	330	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1069591at2	Complete	tig00000001	2392648	2393565	+	153.2	182	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Complete	tig00000001	2129181	2130863	+	299.7	382	https://v10-1.orthodb.org/?query=1074831at2	DNA repair protein RecN
1080436at2	Complete	tig00000001	1226385	1225336	-	391.2	261	https://v10-1.orthodb.org/?query=1080436at2	Protein RecA
1093223at2	Complete	tig00000001	2137784	2139145	+	316.1	357	https://v10-1.orthodb.org/?query=1093223at2	Mur ligase, C-terminal
1132353at2	Complete	tig00000001	1482291	1482947	+	206.2	161	https://v10-1.orthodb.org/?query=1132353at2	K Homology domain
1151822at2	Complete	tig00000001	2136808	2137770	+	254.8	247	https://v10-1.orthodb.org/?query=1151822at2	Phospho-N-acetylmuramoyl-pentapeptide-transferase
1166299at2	Complete	tig00000001	123372	124295	+	118.1	122	https://v10-1.orthodb.org/?query=1166299at2	tRNA pseudouridine synthase B
1211060at2	Complete	tig00000001	1551558	1550947	-	196.3	163	https://v10-1.orthodb.org/?query=1211060at2	RNA-binding S4 domain
1257362at2	Complete	tig00000001	90404	91420	+	244.9	235	https://v10-1.orthodb.org/?query=1257362at2	tRNA N6-adenosine threonylcarbamoyltransferase
1266295at2	Complete	tig00000001	2493387	2494142	+	326.0	249	https://v10-1.orthodb.org/?query=1266295at2	Triosephosphate isomerase
1270636at2	Complete	tig00000001	1479144	1479773	+	184.0	162	https://v10-1.orthodb.org/?query=1270636at2	Ribosomal protein L3
1272633at2	Complete	tig00000001	2133224	2134183	+	139.3	154	https://v10-1.orthodb.org/?query=1272633at2	S-adenosyl-L-methionine-dependent methyltransferase
1346419at2	Fragmented	tig00000001	2038820	2038269	-	175.0	154	https://v10-1.orthodb.org/?query=1346419at2	Flavoprotein
1395197at2	Complete	tig00000001	107118	108386	+	120.7	154	https://v10-1.orthodb.org/?query=1395197at2	Peptidase M50
1398618at2	Complete	tig00000001	1485861	1486397	+	146.9	130	https://v10-1.orthodb.org/?query=1398618at2	Ribosomal protein L6, alpha-beta domain
1419877at2	Duplicated	tig00000001	2545473	2546498	+	277.4	260	https://v10-1.orthodb.org/?query=1419877at2	glycerol-3-phosphate dehydrogenase
1419877at2	Duplicated	tig00000001	2321245	2322264	+	267.4	260	https://v10-1.orthodb.org/?query=1419877at2	glycerol-3-phosphate dehydrogenase
1456375at2	Complete	tig00000001	1484652	1485191	+	229.2	142	https://v10-1.orthodb.org/?query=1456375at2	Ribosomal protein L5
1470978at2	Complete	tig00000001	982900	982397	-	99.6	105	https://v10-1.orthodb.org/?query=1470978at2	Ribosomal protein L10
1490892at2	Complete	tig00000001	1039201	1038437	-	63.1	88	https://v10-1.orthodb.org/?query=1490892at2	16S rRNA (uracil(1498)-N(3))-methyltransferase
1491686at2	Complete	tig00000001	1489470	1490117	+	134.5	129	https://v10-1.orthodb.org/?query=1491686at2	Adenylate kinase
1497415at2	Complete	tig00000001	2684353	2684874	+	41.8	90	https://v10-1.orthodb.org/?query=1497415at2	Ribosome maturation factor RimM
1502854at2	Complete	tig00000001	1206706	1206092	-	256.6	187	https://v10-1.orthodb.org/?query=1502854at2	Guanylate kinase
1504821at2	Complete	tig00000001	124299	125240	+	170.6	221	https://v10-1.orthodb.org/?query=1504821at2	Riboflavin kinase
1505038at2	Complete	tig00000001	1486935	1487435	+	222.1	149	https://v10-1.orthodb.org/?query=1505038at2	Ribosomal protein S5
1540940at2	Complete	tig00000001	1474389	1474859	+	201.5	134	https://v10-1.orthodb.org/?query=1540940at2	Ribosomal protein S7 domain
1567535at2	Complete	tig00000001	1488113	1489408	+	324.7	300	https://v10-1.orthodb.org/?query=1567535at2	Protein translocase subunit SecY
1572673at2	Complete	tig00000001	1479801	1480424	+	135.7	107	https://v10-1.orthodb.org/?query=1572673at2	50S ribosomal protein L4
1574817at2	Complete	tig00000001	2123921	2124370	+	131.9	141	https://v10-1.orthodb.org/?query=1574817at2	Transcription antitermination protein NusB
1590629at2	Complete	tig00000001	1409744	1409031	-	75.4	95	https://v10-1.orthodb.org/?query=1590629at2	rRNA small subunit methyltransferase G
1592033at2	Complete	tig00000001	2393567	2394796	+	459.0	381	https://v10-1.orthodb.org/?query=1592033at2	GTPase HflX
1595498at2	Complete	tig00000001	114878	115351	+	42.5	42	https://v10-1.orthodb.org/?query=1595498at2	Ribosome maturation factor RimP
1623045at2	Complete	tig00000001	101973	102755	+	269.4	188	https://v10-1.orthodb.org/?query=1623045at2	Ribosomal protein S2
1661836at2	Complete	tig00000001	2085533	2086129	+	160.1	150	https://v10-1.orthodb.org/?query=1661836at2	Recombination protein RecR
1666043at2	Complete	tig00000001	1481930	1482277	+	119.7	86	https://v10-1.orthodb.org/?query=1666043at2	Ribosomal protein L22/L17
1671455at2	Complete	tig00000001	983999	983310	-	222.8	163	https://v10-1.orthodb.org/?query=1671455at2	Ribosomal protein L1
1674344at2	Complete	tig00000001	104596	105153	+	158.3	136	https://v10-1.orthodb.org/?query=1674344at2	Ribosome recycling factor
1676462at2	Complete	tig00000001	1185518	1184958	-	136.5	104	https://v10-1.orthodb.org/?query=1676462at2	Peptidyl-tRNA hydrolase
1692188at2	Complete	tig00000001	1485431	1485829	+	192.9	131	https://v10-1.orthodb.org/?query=1692188at2	Ribosomal protein S8
1698718at2	Complete	tig00000001	2685761	2686108	+	128.0	90	https://v10-1.orthodb.org/?query=1698718at2	Ribosomal protein L19
1701531at2	Complete	tig00000001	2511383	2512285	+	149.0	146	https://v10-1.orthodb.org/?query=1701531at2	ATP synthase, F1 complex, gamma subunit
1702697at2	Complete	tig00000001	984525	984103	-	132.3	105	https://v10-1.orthodb.org/?query=1702697at2	Ribosomal protein L11, C-terminal
1707228at2	Complete	tig00000001	1473892	1474305	+	169.1	101	https://v10-1.orthodb.org/?query=1707228at2	Ribosomal protein S12, bacterial-type
1713391at2	Complete	tig00000001	1491086	1491475	+	153.7	97	https://v10-1.orthodb.org/?query=1713391at2	Ribosomal protein S11
1720952at2	Complete	tig00000001	2506893	2507357	+	202.7	143	https://v10-1.orthodb.org/?query=1720952at2	SsrA-binding protein
1758685at2	Complete	tig00000001	2584455	2585267	+	46.8	77	https://v10-1.orthodb.org/?query=1758685at2	DNA repair protein RecO
1760144at2	Complete	tig00000001	1649279	1649803	+	90.1	95	https://v10-1.orthodb.org/?query=1760144at2	Translation initiation factor 3, C-terminal
1766414at2	Complete	tig00000001	1343502	1343110	-	115.9	99	https://v10-1.orthodb.org/?query=1766414at2	Ribosomal protein S9
1772647at2	Complete	tig00000001	1490693	1491058	+	145.0	100	https://v10-1.orthodb.org/?query=1772647at2	Ribosomal protein S13
1776954at2	Complete	tig00000001	1425776	1426075	+	56.4	70	https://v10-1.orthodb.org/?query=1776954at2	Ribosomal protein S6
1786618at2	Complete	tig00000001	1482950	1483384	+	154.2	106	https://v10-1.orthodb.org/?query=1786618at2	Ribosomal protein L16
1799923at2	Complete	tig00000001	1483911	1484279	+	136.9	104	https://v10-1.orthodb.org/?query=1799923at2	Ribosomal protein L14P
1822215at2	Complete	tig00000001	1343961	1343518	-	161.8	112	https://v10-1.orthodb.org/?query=1822215at2	Ribosomal protein L13
1822695at2	Complete	tig00000001	982344	981976	-	88.5	84	https://v10-1.orthodb.org/?query=1822695at2	Ribosomal protein L7/L12
1827295at2	Complete	tig00000001	2022430	2022903	+	65.5	69	https://v10-1.orthodb.org/?query=1827295at2	tRNA threonylcarbamoyl adenosine modification protein TsaE
1827334at2	Complete	tig00000001	542742	542182	-	91.4	91	https://v10-1.orthodb.org/?query=1827334at2	methyltransferase
1830156at2	Complete	tig00000001	2582558	2583019	+	73.8	72	https://v10-1.orthodb.org/?query=1830156at2	Endoribonuclease YbeY
1838961at2	Complete	tig00000001	1492521	1492901	+	108.3	83	https://v10-1.orthodb.org/?query=1838961at2	Ribosomal protein L17
1842956at2	Complete	tig00000001	1372731	1373699	+	32.9	88	https://v10-1.orthodb.org/?query=1842956at2	Biotin--acetyl-CoA-carboxylase ligase
1844275at2	Complete	tig00000001	430230	429304	-	167.3	175	https://v10-1.orthodb.org/?query=1844275at2	Aspartate carbamoyltransferase
1846503at2	Complete	tig00000001	542185	541694	-	117.2	106	https://v10-1.orthodb.org/?query=1846503at2	pantetheine-phosphate adenylyltransferase
1874945at2	Complete	tig00000001	1487673	1488113	+	79.5	87	https://v10-1.orthodb.org/?query=1874945at2	Ribosomal protein L15
1890943at2	Complete	tig00000001	1521615	1522301	+	72.0	101	https://v10-1.orthodb.org/?query=1890943at2	ribonuclease III
1893906at2	Complete	tig00000001	1481629	1481907	+	138.5	72	https://v10-1.orthodb.org/?query=1893906at2	Ribosomal protein S19, bacterial-type
1904463at2	Complete	tig00000001	2114101	2114394	+	117.2	67	https://v10-1.orthodb.org/?query=1904463at2	Ribosomal protein L27
1906715at2	Complete	tig00000001	135201	135764	+	57.1	70	https://v10-1.orthodb.org/?query=1906715at2	Protein GrpE
1932144at2	Complete	tig00000001	1650128	1650487	+	120.9	93	https://v10-1.orthodb.org/?query=1932144at2	Ribosomal protein L20
1937072at2	Complete	tig00000001	2682729	2683004	+	116.9	70	https://v10-1.orthodb.org/?query=1937072at2	Ribosomal protein S16
1937493at2	Complete	tig00000001	2509248	2509790	+	117.4	158	https://v10-1.orthodb.org/?query=1937493at2	ATP synthase subunit delta
1940575at2	Complete	tig00000001	1426663	1426899	+	86.2	52	https://v10-1.orthodb.org/?query=1940575at2	Ribosomal protein S18
1949059at2	Complete	tig00000001	2113409	2113717	+	127.0	100	https://v10-1.orthodb.org/?query=1949059at2	Ribosomal protein L21
1959318at2	Complete	tig00000001	1429021	1429473	+	73.5	86	https://v10-1.orthodb.org/?query=1959318at2	Ribosomal protein L9
1963491at2	Complete	tig00000001	1486558	1486914	+	153.2	103	https://v10-1.orthodb.org/?query=1963491at2	Ribosomal protein L18
1971380at2	Complete	tig00000001	119518	119865	+	118.7	110	https://v10-1.orthodb.org/?query=1971380at2	Ribosome-binding factor A
1978865at2	Complete	tig00000001	1480424	1480714	+	103.0	90	https://v10-1.orthodb.org/?query=1978865at2	Ribosomal protein L25/L23
1990141at2	Complete	tig00000001	1579950	1580219	+	103.5	66	https://v10-1.orthodb.org/?query=1990141at2	Ribosomal protein S15
1990650at2	Fragmented	tig00000001	817861	817601	-	79.8	60	https://v10-1.orthodb.org/?query=1990650at2	Ribosomal silencing factor RsfS
2005443at2	Complete	tig00000001	534830	535084	+	77.8	63	https://v10-1.orthodb.org/?query=2005443at2	Ribosomal protein S20
2012682at2	Complete	tig00000001	1478805	1479113	+	147.1	88	https://v10-1.orthodb.org/?query=2012682at2	Ribosomal protein S10
2035880at2	Complete	tig00000001	1483587	1483853	+	89.4	57	https://v10-1.orthodb.org/?query=2035880at2	Ribosomal protein S17/S11
2040741at2	Complete	tig00000001	1484316	1484624	+	61.3	52	https://v10-1.orthodb.org/?query=2040741at2	Ribosomal protein L24
2046660at2	Complete	tig00000001	1649875	1650075	+	25.1	34	https://v10-1.orthodb.org/?query=2046660at2	Ribosomal protein L35
2063644at2	Complete	tig00000001	1483374	1483562	+	60.9	37	https://v10-1.orthodb.org/?query=2063644at2	Ribosomal protein L29/L35
2066663at2	Complete	tig00000001	1490308	1490526	+	92.0	57	https://v10-1.orthodb.org/?query=2066663at2	Translation initiation factor IF-1
2075502at2	Complete	tig00000001	2418783	2419214	+	48.1	65	https://v10-1.orthodb.org/?query=2075502at2	YqgF/RNase H-like domain
